id,companyId,nome,ca,validadeCA,fabricante,fornecedor,quantidadeEstoque,createdAt,updatedAt,valor_produto,tempo_minimo_troca,categoria,tamanho,fornecedor_cnpj,fornecedor_contato,fornecedor_telefone,fornecedor_email,fornecedor_endereco,cor_capacete,condicao,vida_util_meses,criado_por,alterado_por
1020004,60002,Camisa Manga Longa Social Azul Escuro,,,,ESCARLATE,1,2026-02-26 19:53:24,2026-02-26 20:09:02,105.00,,Uniforme,P,01383434000180,ESCARLATE CONFECCOES LTDA,,,"BERNARDINO DE CAMPOS, 352, CENTRO, LORENA, SP",,Novo,,,
1020005,60002,Camisa Manga Longa Social Azul Escuro,,,,ESCARLATE,3,2026-02-26 19:54:08,2026-02-26 20:10:17,105.00,,Uniforme,M,01383434000180,ESCARLATE CONFECCOES LTDA,,,"BERNARDINO DE CAMPOS, 352, CENTRO, LORENA, SP",,Novo,,,
1020006,60002,Camisa Manga Longa Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,43,2026-02-26 20:07:35,2026-02-26 20:07:35,70.00,,Uniforme,M,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020007,60002,Camisa Manga Longa Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,1,2026-02-26 20:13:17,2026-02-26 20:13:17,70.00,,Uniforme,XXGG,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020008,60002,Camisa Manga Longa Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,4,2026-02-26 20:14:33,2026-02-26 20:14:33,70.00,,Uniforme,GG,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020009,60002,Calça Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,18,2026-02-26 20:17:15,2026-02-26 20:17:15,98.00,,Uniforme,XGG,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020010,60002,Calça Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,33,2026-02-26 20:19:54,2026-02-26 20:46:12,98.00,,Uniforme,GG,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020011,60002,Calça Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,39,2026-02-26 20:33:09,2026-03-10 17:20:10,98.00,,Uniforme,M,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,RODNEI ALEXANDRE DOS SANTOS SILVA
1020012,60002,Calça Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,15,2026-02-26 20:45:01,2026-02-26 20:45:01,98.00,,Uniforme,XGG,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020013,60002,Calça Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,29,2026-02-26 20:47:17,2026-02-26 20:47:17,98.00,,Uniforme,G,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1020014,60002,Calça Brim,,,,,15,2026-02-26 20:48:14,2026-03-02 20:14:27,98.00,,Uniforme,XXGG,,,,,,,Novo,,,
1020015,60002,Calça Brim,,,,,6,2026-02-26 20:48:38,2026-02-26 20:48:38,98.00,,Uniforme,XGG,,,,,,,Novo,,,
1050001,60005,Camisa Branca Mannga Longa Branca Brim,,,,PEDRO ANDRINI JUNIOR 29850039892,32,2026-02-27 11:25:31,2026-02-27 11:27:57,70.00,,Uniforme,G,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1050003,60005,Jaqueta Zíper,,,,PEDRO ANDRINI JUNIOR 29850039892,1,2026-02-27 11:33:38,2026-02-27 11:33:38,150.00,,Uniforme,G,28176174000129,PEDRO ANDRINI JUNIOR 29850039892,,,"SAO ROQUE, APARECIDA, SP",,Novo,,,
1050004,60005,Jaqueta Zíper ,,,,,2,2026-02-27 11:34:12,2026-02-27 11:34:12,150.00,,Uniforme,P,,,,,,,Novo,,,
1050005,60005,Jaqueta Zíper,,,,,4,2026-02-27 11:35:10,2026-02-27 11:35:10,150.00,,Uniforme,M,,,,,,,Novo,,,
