id,companyId,obraId,employeeId,dixiDeviceId,mesAno,horasNormais,horasExtras,horasNoturnas,totalHoras,diasTrabalhados,createdAt,updatedAt
330020,60002,120001,420092,,2026-01,22:51,0:34,0:00,23:25,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330021,60002,120001,420096,,2026-01,89:33,25:28,0:00,115:01,14,2026-03-05 19:32:57,2026-03-05 19:32:57
330022,60002,120001,420115,,2026-01,34:07,0:03,0:00,34:10,5,2026-03-05 19:32:57,2026-03-05 19:32:57
330023,60002,120001,420118,,2026-01,23:02,0:38,0:00,23:40,4,2026-03-05 19:32:57,2026-03-05 19:32:57
330024,60002,120001,420122,,2026-01,26:00,2:54,0:00,28:54,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330025,60002,120001,420124,,2026-01,18:22,0:40,0:00,19:02,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330026,60002,120001,420127,,2026-01,17:09,1:47,0:00,18:56,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330027,60002,120001,420128,,2026-01,0:00,0:00,0:00,0:00,2,2026-03-05 19:32:57,2026-03-05 19:32:57
330028,60002,120001,420135,,2026-01,49:31,9:02,0:00,58:33,10,2026-03-05 19:32:57,2026-03-05 19:32:57
330029,60002,120001,420139,,2026-01,14:21,17:21,0:00,31:42,5,2026-03-05 19:32:57,2026-03-05 19:32:57
330030,60002,120001,420143,,2026-01,67:00,22:46,0:00,89:46,15,2026-03-05 19:32:57,2026-03-05 19:32:57
330031,60002,120001,420151,,2026-01,43:43,30:16,0:00,73:59,10,2026-03-05 19:32:57,2026-03-05 19:32:57
330032,60002,120001,420152,,2026-01,25:56,0:15,0:00,26:11,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330033,60002,120001,420167,,2026-01,23:06,5:00,0:00,28:06,4,2026-03-05 19:32:57,2026-03-05 19:32:57
330034,60002,120001,420170,,2026-01,53:00,7:46,0:00,60:46,14,2026-03-05 19:32:57,2026-03-05 19:32:57
330035,60002,120001,420172,,2026-01,26:00,12:15,0:00,38:15,5,2026-03-05 19:32:57,2026-03-05 19:32:57
330036,60002,120001,420173,,2026-01,78:59,12:51,0:00,91:50,12,2026-03-05 19:32:57,2026-03-05 19:32:57
330037,60002,120001,420174,,2026-01,61:42,10:19,0:00,72:01,10,2026-03-05 19:32:57,2026-03-05 19:32:57
330038,60002,120001,420176,,2026-01,77:35,9:25,0:00,87:00,13,2026-03-05 19:32:57,2026-03-05 19:32:57
330039,60002,120001,420184,,2026-01,45:44,3:30,0:00,49:14,7,2026-03-05 19:32:57,2026-03-05 19:32:57
330040,60002,120001,420189,,2026-01,18:51,0:00,0:00,18:51,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330041,60002,120001,420191,,2026-01,27:06,3:58,0:00,31:04,4,2026-03-05 19:32:57,2026-03-05 19:32:57
330042,60002,120001,420194,,2026-01,9:00,1:08,0:00,10:08,2,2026-03-05 19:32:57,2026-03-05 19:32:57
330043,60002,120001,420195,,2026-01,17:00,9:01,0:00,26:01,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330044,60002,120001,420196,,2026-01,0:00,0:00,0:00,0:00,1,2026-03-05 19:32:57,2026-03-05 19:32:57
330045,60002,120001,420198,,2026-01,0:00,0:00,0:00,0:00,2,2026-03-05 19:32:57,2026-03-05 19:32:57
330046,60002,120001,420207,,2026-01,19:39,0:00,0:00,19:39,3,2026-03-05 19:32:57,2026-03-05 19:32:57
330047,60002,120001,420208,,2026-01,64:57,0:21,0:00,65:18,9,2026-03-05 19:32:57,2026-03-05 19:32:57
330048,60002,120001,420209,,2026-01,8:00,1:13,0:00,9:13,1,2026-03-05 19:32:57,2026-03-05 19:32:57
330049,60002,120001,450001,,2026-01,50:55,9:05,0:00,60:00,8,2026-03-05 19:32:57,2026-03-05 19:32:57
330050,60002,90005,420099,,2026-02,18:26,0:16,0:00,18:42,7,2026-03-05 19:33:45,2026-03-05 19:33:45
330051,60002,90005,420100,,2026-02,67:51,0:17,0:00,68:08,10,2026-03-05 19:33:45,2026-03-05 19:33:45
330052,60002,90005,420101,,2026-02,136:34,1:31,0:00,138:05,17,2026-03-05 19:33:45,2026-03-05 19:33:45
330053,60002,90005,420109,,2026-02,123:04,2:43,0:00,125:47,17,2026-03-05 19:33:45,2026-03-05 19:33:45
330054,60002,90005,420110,,2026-02,47:23,0:04,0:00,47:27,7,2026-03-05 19:33:45,2026-03-05 19:33:45
330055,60002,90005,420136,,2026-02,133:01,3:08,0:00,136:09,17,2026-03-05 19:33:45,2026-03-05 19:33:45
330056,60002,90005,420144,,2026-02,132:49,1:16,0:00,134:05,17,2026-03-05 19:33:45,2026-03-05 19:33:45
330057,60002,90005,420181,,2026-02,136:02,3:46,0:00,139:48,17,2026-03-05 19:33:45,2026-03-05 19:33:45
330058,60002,90005,420099,,2026-01,11:45,0:17,0:00,12:02,8,2026-03-05 19:33:45,2026-03-05 19:33:45
330059,60002,90005,420101,,2026-01,75:18,1:11,0:00,76:29,10,2026-03-05 19:33:45,2026-03-05 19:33:45
330060,60002,90005,420109,,2026-01,35:59,1:44,0:00,37:43,8,2026-03-05 19:33:45,2026-03-05 19:33:45
330061,60002,90005,420136,,2026-01,73:55,1:10,0:00,75:05,10,2026-03-05 19:33:45,2026-03-05 19:33:45
330062,60002,90005,420144,,2026-01,83:15,1:27,0:00,84:42,10,2026-03-05 19:33:45,2026-03-05 19:33:45
330063,60002,90005,420181,,2026-01,73:59,9:45,0:00,83:44,9,2026-03-05 19:33:45,2026-03-05 19:33:45
330064,60002,90002,420060,,2026-02,29:34,0:21,0:00,29:55,5,2026-03-05 19:34:06,2026-03-05 19:34:06
330065,60002,90002,420065,,2026-02,59:21,0:13,0:00,59:34,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330066,60002,90002,420072,,2026-02,66:28,0:24,0:00,66:52,9,2026-03-05 19:34:06,2026-03-05 19:34:06
330067,60002,90002,420073,,2026-02,44:00,2:08,0:00,46:08,5,2026-03-05 19:34:06,2026-03-05 19:34:06
330068,60002,90002,420081,,2026-02,9:00,0:17,0:00,9:17,1,2026-03-05 19:34:06,2026-03-05 19:34:06
330069,60002,90002,420083,,2026-02,60:15,0:53,0:00,61:08,9,2026-03-05 19:34:06,2026-03-05 19:34:06
330070,60002,90002,420095,,2026-02,78:52,0:12,0:00,79:04,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330071,60002,90002,420111,,2026-02,74:18,2:13,0:00,76:31,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330072,60002,90002,420112,,2026-02,0:00,0:00,0:00,0:00,1,2026-03-05 19:34:06,2026-03-05 19:34:06
330073,60002,90002,420141,,2026-02,58:29,1:19,0:00,59:48,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330074,60002,90002,420145,,2026-02,55:56,0:06,0:00,56:02,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330075,60002,90002,420146,,2026-02,57:51,0:35,0:00,58:26,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330076,60002,90002,420060,,2026-01,90:15,2:02,0:00,92:17,12,2026-03-05 19:34:06,2026-03-05 19:34:06
330077,60002,90002,420065,,2026-01,72:32,1:45,0:00,74:17,11,2026-03-05 19:34:06,2026-03-05 19:34:06
330078,60002,90002,420072,,2026-01,93:08,1:02,0:00,94:10,11,2026-03-05 19:34:06,2026-03-05 19:34:06
330079,60002,90002,420073,,2026-01,105:00,4:42,0:00,109:42,12,2026-03-05 19:34:06,2026-03-05 19:34:06
330080,60002,90002,420081,,2026-01,53:00,1:27,0:00,54:27,6,2026-03-05 19:34:06,2026-03-05 19:34:06
330081,60002,90002,420083,,2026-01,95:10,1:33,0:00,96:43,11,2026-03-05 19:34:06,2026-03-05 19:34:06
330082,60002,90002,420095,,2026-01,100:48,0:04,0:00,100:52,12,2026-03-05 19:34:06,2026-03-05 19:34:06
330083,60002,90002,420111,,2026-01,102:01,1:18,0:00,103:19,12,2026-03-05 19:34:06,2026-03-05 19:34:06
330084,60002,90002,420141,,2026-01,79:51,2:40,0:00,82:31,10,2026-03-05 19:34:06,2026-03-05 19:34:06
330085,60002,90002,420145,,2026-01,92:49,0:06,0:00,92:55,12,2026-03-05 19:34:06,2026-03-05 19:34:06
330086,60002,90002,420146,,2026-01,92:36,1:04,0:00,93:40,11,2026-03-05 19:34:06,2026-03-05 19:34:06
330087,60002,90001,420054,,2026-02,27:01,2:35,0:00,29:36,4,2026-03-05 19:34:29,2026-03-05 19:34:29
330088,60002,90001,420056,,2026-02,82:17,8:53,0:00,91:10,12,2026-03-05 19:34:29,2026-03-05 19:34:29
330089,60002,90001,420057,,2026-02,92:54,2:52,0:00,95:46,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330090,60002,90001,420058,,2026-02,4:57,0:00,0:00,4:57,2,2026-03-05 19:34:29,2026-03-05 19:34:29
330091,60002,90001,420059,,2026-02,85:52,17:13,0:00,103:05,12,2026-03-05 19:34:29,2026-03-05 19:34:29
330092,60002,90001,420064,,2026-02,78:57,9:38,0:00,88:35,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330093,60002,90001,420066,,2026-02,93:17,20:36,0:00,113:53,12,2026-03-05 19:34:29,2026-03-05 19:34:29
330094,60002,90001,420068,,2026-02,69:37,3:57,0:00,73:34,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330095,60002,90001,420069,,2026-02,7:48,0:00,0:00,7:48,1,2026-03-05 19:34:29,2026-03-05 19:34:29
330096,60002,90001,420074,,2026-02,85:12,6:39,0:00,91:51,10,2026-03-05 19:34:29,2026-03-05 19:34:29
330097,60002,90001,420075,,2026-02,13:43,0:27,0:00,14:10,3,2026-03-05 19:34:29,2026-03-05 19:34:29
330098,60002,90001,420078,,2026-02,86:55,1:20,0:00,88:15,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330099,60002,90001,420081,,2026-02,38:26,0:19,0:00,38:45,5,2026-03-05 19:34:29,2026-03-05 19:34:29
330100,60002,90001,420082,,2026-02,86:32,20:22,0:00,106:54,13,2026-03-05 19:34:29,2026-03-05 19:34:29
330101,60002,90001,420089,,2026-02,86:18,1:35,0:00,87:53,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330102,60002,90001,420090,,2026-02,93:21,6:26,0:00,99:47,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330103,60002,90001,420092,,2026-02,92:22,4:18,0:00,96:40,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330104,60002,90001,420094,,2026-02,90:17,7:21,0:00,97:38,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330105,60002,90001,420096,,2026-02,23:04,0:57,0:00,24:01,3,2026-03-05 19:34:29,2026-03-05 19:34:29
330106,60002,90001,420097,,2026-02,86:53,10:10,0:00,97:03,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330107,60002,90001,420105,,2026-02,87:10,3:28,0:00,90:38,10,2026-03-05 19:34:29,2026-03-05 19:34:29
330108,60002,90001,420106,,2026-02,67:58,4:07,0:00,72:05,8,2026-03-05 19:34:29,2026-03-05 19:34:29
330109,60002,90001,420107,,2026-02,61:47,0:00,0:00,61:47,7,2026-03-05 19:34:29,2026-03-05 19:34:29
330110,60002,90001,420115,,2026-02,23:02,0:02,0:00,23:04,5,2026-03-05 19:34:29,2026-03-05 19:34:29
330111,60002,90001,420116,,2026-02,44:15,0:17,0:00,44:32,5,2026-03-05 19:34:29,2026-03-05 19:34:29
330112,60002,90001,420117,,2026-02,86:47,0:32,0:00,87:19,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330113,60002,90001,420121,,2026-02,93:00,4:15,0:00,97:15,11,2026-03-05 19:34:29,2026-03-05 19:34:29
330114,60002,90001,420122,,2026-02,69:22,2:44,0:00,72:06,8,2026-03-05 19:34:29,2026-03-05 19:34:29
330115,60002,90001,420125,,2026-02,60:08,8:01,0:00,68:09,9,2026-03-05 19:34:29,2026-03-05 19:34:29
330116,60002,90001,420126,,2026-02,14:45,1:08,0:00,15:53,2,2026-03-05 19:34:29,2026-03-05 19:34:29
330117,60002,90001,420130,,2026-02,23:07,0:49,0:00,23:56,3,2026-03-05 19:34:29,2026-03-05 19:34:29
330118,60002,90001,420131,,2026-02,63:38,0:30,0:00,64:08,8,2026-03-05 19:34:29,2026-03-05 19:34:29
330119,60002,90001,420132,,2026-02,79:00,3:15,0:00,82:15,9,2026-03-05 19:34:29,2026-03-05 19:34:29
330120,60002,90001,420133,,2026-02,75:01,2:18,0:00,77:19,9,2026-03-05 19:34:29,2026-03-05 19:34:29
330121,60002,90001,420134,,2026-02,6:04,0:00,0:00,6:04,1,2026-03-05 19:34:29,2026-03-05 19:34:29
330122,60002,90001,420135,,2026-02,65:08,2:17,0:00,67:25,9,2026-03-05 19:34:29,2026-03-05 19:34:29
330123,60002,90001,420137,,2026-02,79:07,7:10,0:00,86:17,10,2026-03-05 19:34:29,2026-03-05 19:34:29
330124,60002,90001,420138,,2026-02,67:18,2:07,0:00,69:25,8,2026-03-05 19:34:29,2026-03-05 19:34:29
