id,companyId,employeeId,mesReferencia,totalAtrasos,totalMinutosAtraso,totalFaltasInjustificadas,totalSaidasAntecipadas,totalMinutosSaidaAntecipada,totalDsrPerdidos,totalFeriadosPerdidos,totalHeNaoAutorizadas,totalMinutosHeNaoAutorizada,valorTotalAtrasos,valorTotalFaltas,valorTotalDsr,valorTotalFeriados,valorTotalSaidasAntecipadas,valorTotalHeNaoAutorizada,valorTotalDescontos,faltasAcumuladasPeriodoAquisitivo,diasFeriasResultante,status,revisadoPor,revisadoEm,createdAt,updatedAt
30285,60002,420078,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30286,60002,420079,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30287,60002,420080,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30288,60002,420081,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30289,60002,420082,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30290,60002,420083,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30291,60002,420084,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30292,60002,420085,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30293,60002,420086,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30294,60002,420087,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30295,60002,420089,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30296,60002,420090,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30297,60002,420091,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30298,60002,420092,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30299,60002,420093,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30300,60002,420094,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30301,60002,420095,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30302,60002,420096,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30303,60002,420097,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30304,60002,420098,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30305,60002,420099,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30306,60002,420100,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30307,60002,420101,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30308,60002,420102,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30309,60002,420103,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
30310,60002,420104,2026-02,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,30,calculado,,,2026-03-04 01:40:07,2026-03-04 01:40:07
